537850[10471] 537888[12462] -1 -2  SUtility:22933
821277[3138] -1 -2  SUtility:3138
820383[4188] 821285[2092] -1 -2  SUtility:6280
567404[1570] 821277[6276] 821371[1046] 835585[52255] -1 -2  SUtility:61147
685795[1046] 829312[6282] -1 -2  SUtility:7328
601233[627] 820454[523] 821392[418] 821397[1046] 826623[941] 826625[732] 829737[1360] -1 -2  SUtility:5647
820396[732] -1 -2  SUtility:732
753507[575] -1 -2  SUtility:575
706441[2720] -1 -2  SUtility:2720
706147[3141] 821277[4184] 826625[732] 826627[2615] 829257[3141] -1 -2  SUtility:13813
826837[627] 826908[837] -1 -2  SUtility:1464
829741[15700] -1 -2  SUtility:15700
826833[2720] -1 826833[2720] -1 -2  SUtility:5440
612920[8375] -1 -2  SUtility:8375
716932[4188] 832167[1256] -1 -2  SUtility:5444
696434[31311] -1 -2  SUtility:31311
514293[4184] 711312[1674] 826621[1046] 826998[837] 828987[313] -1 -2  SUtility:8054
821285[4184] 826803[8376] -1 -2  SUtility:12560
820252[6282] -1 -2  SUtility:6282
718203[4080] 819547[418] -1 -2  SUtility:4498
664919[732] 821290[3138] 826608[313] 826816[1674] -1 -2  SUtility:5857
821028[4188] -1 -2  SUtility:4188
701307[3664] -1 -2  SUtility:3664
684093[1046] -1 -2  SUtility:1046
821277[4184] -1 -2  SUtility:4184
819528[732] 820441[627] 826816[1674] -1 -2  SUtility:3033
601040[4711] 601042[3141] -1 -2  SUtility:7852
696897[3664] 711952[1046] -1 561502[7328] -1 -2  SUtility:12038
840762[29217] -1 -2  SUtility:29217
825704[837] 826816[1674] 840871[1140] 843410[1350] -1 -2  SUtility:5001
716930[11518] 832653[3141] -1 -2  SUtility:14659
642560[523] 821373[4188] -1 -2  SUtility:4711
821277[6276] -1 -2  SUtility:6276
820413[6280] 826700[418] -1 585395[4188] 821290[4184] -1 -2  SUtility:15070
821272[418] 827020[4188] 827030[1046] -1 -2  SUtility:5652
718203[1360] 718216[1046] -1 -2  SUtility:2406
836137[16650] -1 -2  SUtility:16650
826606[941] 826627[523] 826955[2720] 840378[12462] -1 -2  SUtility:16646
821277[5230] -1 -2  SUtility:5230
716710[2092] -1 -2  SUtility:2092
821390[1882] -1 -2  SUtility:1882
717003[2408] -1 -2  SUtility:2408
841006[8375] -1 -2  SUtility:8375
829282[1674] -1 -2  SUtility:1674
821285[2092] 826803[8376] -1 -2  SUtility:10468
821277[2092] -1 -2  SUtility:2092
709741[1360] 819738[187] 826627[1046] 826906[732] 826955[2720] -1 709741[1360] 819738[187] 826627[1046] 826906[732] 826955[2720] -1 -2  SUtility:12090
716932[5759] -1 -2  SUtility:5759
677757[22934] 820812[313] -1 -2  SUtility:23247
699599[15603] -1 -2  SUtility:15603
826816[1674] -1 -2  SUtility:1674
533026[2092] -1 533026[2092] -1 -2  SUtility:4184
838372[3766] -1 -2  SUtility:3766
821300[732] 826615[732] 826617[627] -1 -2  SUtility:2091
517450[2720] 523709[4080] 546136[1882] 714929[3766] 839795[1881] -1 -2  SUtility:14329
826833[4080] -1 -2  SUtility:4080
821313[3766] -1 -2  SUtility:3766
826889[1046] -1 -2  SUtility:1046
821277[6276] -1 821277[6276] -1 -2  SUtility:12552
712278[8368] -1 -2  SUtility:8368
820400[418] 821373[4188] -1 -2  SUtility:4606
716941[1778] 716984[6909] 716986[6909] -1 -2  SUtility:15596
710075[5234] -1 -2  SUtility:5234
645820[2092] 843502[2092] -1 -2  SUtility:4184
545928[7328] -1 545928[7328] -1 545928[7328] -1 -2  SUtility:21984
820192[1570] -1 -2  SUtility:1570
838462[14556] -1 -2  SUtility:14556
827020[4188] -1 -2  SUtility:4188
839313[4188] -1 -2  SUtility:4188
819760[627] 819762[627] -1 743335[941] -1 -2  SUtility:2195
828987[313] -1 -2  SUtility:313
716926[2931] 717003[2617] -1 -2  SUtility:5548
748285[1046] 839313[4188] -1 836137[16650] -1 -2  SUtility:21884
748295[2303] 748300[2303] -1 -2  SUtility:4606
800268[941] 819430[418] 820396[732] -1 -2  SUtility:2091
826897[5235] -1 -2  SUtility:5235
709634[837] 820396[732] -1 -2  SUtility:1569
575088[4184] -1 -2  SUtility:4184
705520[10471] -1 -2  SUtility:10471
601805[20839] -1 -2  SUtility:20839
555492[1046] 587697[313] 645316[6805] 819393[1570] 820394[523] 820812[313] -1 -2  SUtility:10570
536440[11414] 556561[889] -1 -2  SUtility:12303
716930[3455] -1 -2  SUtility:3455
827009[2092] -1 -2  SUtility:2092
821380[1046] -1 -2  SUtility:1046
510044[13509] -1 -2  SUtility:13509
821272[418] 827020[4188] -1 -2  SUtility:4606
717003[5025] 717511[732] 826606[1882] -1 -2  SUtility:7639
565535[4921] -1 -2  SUtility:4921
545935[7642] 716982[2617] -1 -2  SUtility:10259
601233[627] 820402[418] 821380[1046] -1 712130[1046] 820400[418] -1 -2  SUtility:3555
748300[2303] 753513[784] -1 -2  SUtility:3087
639245[523] 811754[2617] -1 -2  SUtility:3140
533337[4392] -1 -2  SUtility:4392
819410[4395] -1 -2  SUtility:4395
536440[10471] -1 -2  SUtility:10471
716461[1046] -1 546978[1360] 840483[1674] -1 -2  SUtility:4080
826747[4083] -1 -2  SUtility:4083
706432[4188] 820387[1046] -1 -2  SUtility:5234
742252[837] 821290[5230] -1 -2  SUtility:6067
698581[11414] -1 -2  SUtility:11414
553700[3978] -1 -2  SUtility:3978
716937[3976] -1 -2  SUtility:3976
838308[9424] -1 838308[9424] -1 -2  SUtility:18848
836761[41783] -1 -2  SUtility:41783
748282[376] 826615[732] -1 -2  SUtility:1108
829285[8370] -1 -2  SUtility:8370
695073[14451] -1 -2  SUtility:14451
684513[10471] -1 -2  SUtility:10471
748295[2303] 753507[575] -1 -2  SUtility:2878
706441[1360] 716982[9733] 832655[3455] -1 -2  SUtility:14548
706460[10471] -1 706460[10471] -1 -2  SUtility:20942
744530[4184] -1 -2  SUtility:4184
714757[941] 718255[941] 718390[680] -1 -2  SUtility:2562
551913[1778] 820261[8376] -1 -2  SUtility:10154
551890[4502] -1 551890[4502] -1 -2  SUtility:9004
716928[2617] 717003[1778] -1 -2  SUtility:4395
717005[16956] -1 -2  SUtility:16956
554431[523] 826829[1360] 826833[1360] -1 -2  SUtility:3243
748293[3350] 748338[3350] -1 -2  SUtility:6700
716937[3976] 716973[2198] -1 -2  SUtility:6174
821277[2092] 821290[4184] -1 821292[627] -1 -2  SUtility:6903
821277[4184] -1 -2  SUtility:4184
716926[5234] -1 -2  SUtility:5234
832653[3766] -1 -2  SUtility:3766
584939[15702] -1 -2  SUtility:15702
826705[8368] -1 -2  SUtility:8368
826617[627] 826619[732] 829312[6282] -1 -2  SUtility:7641
695555[2092] 833740[3036] 839054[3141] -1 -2  SUtility:8269
829312[6282] -1 -2  SUtility:6282
706460[10471] -1 -2  SUtility:10471
602615[7119] -1 -2  SUtility:7119
710309[18848] -1 -2  SUtility:18848
826627[1046] 826705[2092] 829741[4710] -1 -2  SUtility:7848
820233[2930] -1 -2  SUtility:2930
725508[837] -1 -2  SUtility:837
695538[13404] -1 -2  SUtility:13404
826625[2196] -1 -2  SUtility:2196
709634[837] 709645[1778] 709690[1465] 832557[2092] 840415[2092] -1 -2  SUtility:8264
539435[10471] -1 -2  SUtility:10471
532835[8691] -1 -2  SUtility:8691
691441[1465] 691632[889] 838750[941] 842450[784] 842575[931] 842577[931] -1 835675[2931] 843903[680] -1 -2  SUtility:9552
821339[3138] -1 -2  SUtility:3138
826705[4184] -1 -2  SUtility:4184
678104[5235] -1 -2  SUtility:5235
678526[31410] -1 678526[31410] -1 678526[12564] -1 -2  SUtility:75384
644444[5862] 712270[3348] -1 -2  SUtility:9210
821272[418] -1 827020[4188] -1 -2  SUtility:4606
712237[14656] -1 -2  SUtility:14656
510044[13509] -1 -2  SUtility:13509
743350[1570] 748336[1046] -1 743350[1570] 748336[1046] -1 -2  SUtility:5232
821292[1254] 829285[1674] -1 -2  SUtility:2928
645376[3664] -1 -2  SUtility:3664
586711[10990] -1 -2  SUtility:10990
587898[52255] -1 -2  SUtility:52255
532351[2826] 663325[2826] 716982[4606] 717003[4606] -1 -2  SUtility:14864
691117[1988] -1 -2  SUtility:1988
532351[2826] -1 -2  SUtility:2826
508563[3141] 539150[5759] -1 508563[3141] 539150[5759] -1 -2  SUtility:17800
708372[2092] -1 -2  SUtility:2092
839313[4188] -1 -2  SUtility:4188
826212[837] -1 -2  SUtility:837
534217[13509] -1 -2  SUtility:13509
840762[29217] -1 -2  SUtility:29217
537464[6805] -1 -2  SUtility:6805
827030[1046] 839313[4188] 839386[837] 840415[2092] -1 -2  SUtility:8163
711569[2092] 826702[837] -1 -2  SUtility:2929
821277[6276] 821292[627] 826801[523] -1 -2  SUtility:7426
753505[1151] 753507[575] -1 -2  SUtility:1726
826705[2092] -1 826816[1674] -1 -2  SUtility:3766
826606[941] -1 826606[941] -1 -2  SUtility:1882
716686[4188] 716930[24708] -1 -2  SUtility:28896
551913[3556] -1 -2  SUtility:3556
684513[20942] -1 -2  SUtility:20942
515845[5235] 516142[6805] -1 -2  SUtility:12040
821388[1570] -1 -2  SUtility:1570
685782[13509] -1 -2  SUtility:13509
594678[10471] -1 -2  SUtility:10471
600464[2092] -1 -2  SUtility:2092
676387[10471] 677437[6282] 706428[837] -1 -2  SUtility:17590
714790[2092] 826606[941] 828987[939] -1 -2  SUtility:3972
839652[6282] -1 -2  SUtility:6282
820814[2092] 826700[418] 826801[1046] -1 -2  SUtility:3556
668596[4188] -1 -2  SUtility:4188
832552[1046] -1 581690[837] 744779[627] 819719[732] 820199[2092] 821279[1570] 826627[523] -1 -2  SUtility:7427
826615[732] 826617[627] 826619[732] 826621[1046] -1 -2  SUtility:3137
714721[1046] 820842[1046] 829312[6282] -1 -2  SUtility:8374
826715[1464] 826801[1046] -1 -2  SUtility:2510
680465[3664] -1 -2  SUtility:3664
840762[29217] -1 -2  SUtility:29217
601197[20839] -1 601197[20839] -1 601197[20839] -1 -2  SUtility:62517
