850743[1989] -1 -2  SUtility:1989
556055[627] 662761[627] 748304[2092] 753505[1151] 826912[523] 828987[313] -1 -2  SUtility:5333
712488[31311] -1 -2  SUtility:31311
716707[575] 832604[2303] -1 -2  SUtility:2878
 12463[35] -1 -2  SUtility:35
 6[5] -1 367[32] -1 -2  SUtility:37
564380[732] 851152[3141] 851290[837] -1 564380[732] 851152[3141] 851290[837] -1 -2  SUtility:9420
680369[10470] -1 -2  SUtility:10470
684093[1046] -1 684093[1046] -1 -2  SUtility:2092
854159[4186] -1 -2  SUtility:4186
668375[523] 853420[2092] 853422[1254] -1 -2  SUtility:3869
826872[523] 828987[313] -1 -2  SUtility:836
846530[261] 853722[418] 853865[418] 853992[627] 854262[837] 854510[941] 854600[313] -1 -2  SUtility:3815
677830[1360] 678387[1046] 851742[1360] 853128[1674] 853165[1046] -1 -2  SUtility:6486
541591[1465] 587069[941] 839583[1046] 854682[523] -1 -2  SUtility:3975
229[4] -1 117[2] -1 188[4] -1 685[8] -1 7120[3] -1 810[2] -1 8[10] -1 186[3] -1 18[2] -1 5451[1] -1 14[1] -1 8333[3] -1 3855[4] -1 14[8] -1 632[4] -1 7120[2] -1 818[10] -1 318[5] -1 212[28] -1 746[4] -1 905[3] -1 39[1] -1 306[12] -1 4591[5] -1 318[5] -1 21[5] -1 8[2] -1 543[15] -1 18[1] -1 5451[10] -1 558[2] -1 14[1] -1 1158[3] -1 219[3] -1 3719[7] -1 212[3] -1 1390[2] -1 18[2] -1 1356[12] -1 1192[5] -1 29[2] -1 96[12] -1 17[3] -1 1135[4] -1 21[4] -1 7227[2] -1 71[30] -1 4640[6] -1 318[28] -1 71[2] -1 646[3] -1 347[7] -1 47[2] -1 18[1] -1 8[5] -1 8267[4] -1 8378[15] -1 20[20] -1 562[15] -1 71[4] -1 8066[5] -1 14[4] -1 7095[2] -1 -2  SUtility:387
819408[2720] -1 -2  SUtility:2720
700000[9424] -1 -2  SUtility:9424
714665[1570] -1 -2  SUtility:1570
697188[2303] -1 -2  SUtility:2303
853102[5440] 864880[1046] -1 -2  SUtility:6486
827030[1151] -1 672942[1674] -1 -2  SUtility:2825
850741[939] 854547[2720] -1 -2  SUtility:3659
820387[1046] -1 -2  SUtility:1046
 18787[60] -1 -2  SUtility:60
691321[1883] 691452[2092] 691460[2092] 840822[1988] -1 -2  SUtility:8055
828970[6596] -1 -2  SUtility:6596
748336[1046] 819430[418] -1 -2  SUtility:1464
 12659[72] -1 -2  SUtility:72
585395[4188] -1 -2  SUtility:4188
 4483[6] -1 -2  SUtility:6
852978[2617] -1 -2  SUtility:2617
 12483[5] -1 -2  SUtility:5
853094[4188] -1 -2  SUtility:4188
838501[9424] -1 -2  SUtility:9424
 12879[20] -1 -2  SUtility:20
 12723[42] -1 12767[40] -1 -2  SUtility:82
709625[5235] -1 -2  SUtility:5235
567327[941] 684762[1046] 684785[1046] 853992[627] 854300[732] 854358[1360] 854579[313] -1 -2  SUtility:6065
674412[5235] -1 -2  SUtility:5235
743495[1046] 744775[889] 820392[680] -1 -2  SUtility:2615
821412[732] -1 -2  SUtility:732
848298[1151] 854857[418] 855016[1046] -1 -2  SUtility:2615
 12759[27] -1 -2  SUtility:27
839041[3455] -1 -2  SUtility:3455
853730[1570] 854060[1046] -1 -2  SUtility:2616
854823[1046] -1 -2  SUtility:1046
853105[1046] 853246[626] -1 -2  SUtility:1672
680356[7328] -1 -2  SUtility:7328
644324[7853] 684115[2826] 685797[2826] 774670[1151] 829743[1151] 845127[889] -1 -2  SUtility:16696
835752[10471] -1 -2  SUtility:10471
 12459[14] -1 12479[16] -1 12491[9] -1 -2  SUtility:39
842605[1036] -1 840944[1465] 842435[1666] 842577[1862] -1 -2  SUtility:6029
714880[10471] -1 580293[2303] -1 -2  SUtility:12774
 12739[16] -1 12807[1] -1 12819[6] -1 -2  SUtility:23
29[1] -1 8[5] -1 4402[4] -1 905[12] -1 92[15] -1 468[2] -1 935[4] -1 8[40] -1 537[18] -1 2222[3] -1 8[2] -1 162[6] -1 2671[9] -1 290[4] -1 1703[12] -1 3[8] -1 4403[2] -1 -2  SUtility:147
 12567[3] -1 -2  SUtility:3
2[45] -1 6[30] -1 10[8] -1 17[14] -1 23[5] -1 28[56] -1 34[20] -1 36[2] -1 39[12] -1 44[10] -1 53[6] -1 56[42] -1 59[8] -1 63[6] -1 68[20] -1 78[24] -1 85[14] -1 86[8] -1 90[8] -1 93[28] -1 99[5] -1 110[50] -1 116[32] -2 SUtility:453
835000[7329] -1 -2  SUtility:7329
851326[1046] 852978[2617] 853094[4188] 853248[837] -1 -2  SUtility:8688
851101[732] 853090[4188] 853105[1046] -1 -2  SUtility:5966
716935[6177] -1 -2  SUtility:6177
677457[15603] -1 -2  SUtility:15603
629347[21886] -1 850947[1046] 853342[2093] 853424[3141] 861421[2408] -1 -2  SUtility:30574
 11[3] -1 4[6] -1 6[10] -1 55[100] -1 3[10] -1 -2  SUtility:129
861498[3664] -1 -2  SUtility:3664
850947[1046] 853420[2092] -1 853156[313] 853992[627] -1 -2  SUtility:4078
534282[8375] -1 -2  SUtility:8375
536463[36547] -1 -2  SUtility:36547
36[8] -1 3[10] -1 26[3] -1 187[8] -1 811[8] -1 307[4] -1 3[1] -1 117[8] -1 129[9] -1 19[1] -1 21[6] -1 8[8] -1 193[2] -1 265[5] -1 12[9] -1 8[4] -1 537[5] -1 18[5] -1 25[2] -1 199[2] -1 186[2] -1 14[20] -1 100[12] -1 4629[20] -1 381[9] -1 307[20] -1 29[4] -1 3[12] -1 2123[3] -1 179[8] -1 265[10] -1 17[6] -1 4117[2] -1 71[3] -1 2280[1] -1 8[10] -1 1335[8] -1 18[2] -1 318[15] -1 54[4] -1 71[10] -1 1263[12] -1 161[2] -1 3242[2] -1 14[8] -1 1257[4] -1 2951[2] -1 2227[4] -1 227[1] -1 1023[2] -1 2517[1] -1 -2  SUtility:327
705757[2093] 861455[1046] -1 -2  SUtility:3139
716977[6276] -1 -2  SUtility:6276
840760[26075] -1 -2  SUtility:26075
1[14] -1 6[18] -1 10[14] -1 17[2] -1 24[20] -1 32[8] -1 34[25] -1 36[16] -1 38[3] -1 48[7] -1 53[10] -1 58[4] -1 61[45] -1 66[10] -1 67[15] -1 76[16] -1 85[4] -1 86[6] -1 90[3] -1 94[60] -1 102[12] -1 110[25] -1 119[6] -2 SUtility:343
 12339[9] -1 -2  SUtility:9
510445[8377] -1 -2  SUtility:8377
564382[680] 819577[680] 850621[2196] -1 -2  SUtility:3556
537361[5968] -1 -2  SUtility:5968
 18579[18] -1 -2  SUtility:18
 12703[7] -1 -2  SUtility:7
748295[2303] 748338[3350] -1 -2  SUtility:5653
850947[1046] 853325[8376] 853340[1674] 853342[4186] 853420[2092] -1 -2  SUtility:17374
667912[627] 829379[941] -1 -2  SUtility:1568
586690[837] 774678[4502] -1 -2  SUtility:5339
854819[523] 854857[418] -1 -2  SUtility:941
821277[2092] -1 -2  SUtility:2092
678387[1046] 848926[898] 853115[837] 853165[1046] -1 853111[1256] -1 -2  SUtility:5083
536193[2093] 695067[11729] 845962[994] -1 846119[889] 856972[2408] -1 -2  SUtility:18113
602290[3141] 668590[1570] -1 -2  SUtility:4711
854733[941] -1 -2  SUtility:941
829113[418] 845521[554] 849057[1674] 855209[837] -1 -2  SUtility:3483
 47289[8] -1 47293[4] -1 -2  SUtility:12
687845[2092] -1 -2  SUtility:2092
744775[889] 826612[523] 826615[732] -1 -2  SUtility:2144
697143[1779] -1 -2  SUtility:1779
710101[1674] -1 -2  SUtility:1674
845583[784] 853705[523] 854527[1046] 854600[626] -1 -2  SUtility:2979
1[4] -1 80[6] -1 219[1] -1 858[2] -1 52[6] -1 1486[3] -1 224[1] -1 225[10] -1 586[3] -1 18[6] -1 8[5] -1 2353[5] -1 -2  SUtility:52
509084[10471] -1 -2  SUtility:10471
2[50] -1 4[40] -1 10[14] -1 15[9] -1 23[5] -1 26[15] -1 34[35] -1 36[14] -1 39[12] -1 44[3] -1 52[10] -1 55[28] -1 59[9] -1 63[42] -1 67[30] -1 76[20] -1 85[20] -1 86[6] -1 90[9] -1 93[49] -1 98[18] -1 107[32] -1 115[6] -2 SUtility:476
716714[523] 716746[523] 851080[627] 851161[627] -1 -2  SUtility:2300
850747[1046] -1 -2  SUtility:1046
 35201[18] -1 -2  SUtility:18
 35149[1] -1 35161[7] -1 35165[30] -1 -2  SUtility:38
 18855[40] -1 -2  SUtility:40
828989[5235] -1 -2  SUtility:5235
 10841[8] -1 10881[27] -1 -2  SUtility:35
849230[1151] 854065[1046] -1 -2  SUtility:2197
680371[8375] -1 -2  SUtility:8375
853094[4188] -1 -2  SUtility:4188
718169[2092] -1 -2  SUtility:2092
854022[4188] -1 -2  SUtility:4188
829820[3874] 853263[1046] -1 -2  SUtility:4920
548744[3141] -1 548744[3141] -1 -2  SUtility:6282
712126[1360] -1 -2  SUtility:1360
 6[25] -1 294[5] -1 953[8] -1 -2  SUtility:38
1[8] -1 3[3] -1 10[14] -1 17[20] -1 24[4] -1 29[12] -1 34[5] -1 36[18] -1 38[2] -1 48[3] -1 53[10] -1 58[2] -1 61[20] -1 66[35] -1 67[21] -1 77[10] -1 85[2] -1 86[10] -1 90[9] -1 94[54] -1 102[30] -1 110[15] -1 117[20] -2 SUtility:327
 12831[6] -1 12891[27] -1 18879[16] -1 -2  SUtility:49
853385[732] 856550[1046] 861464[1884] -1 -2  SUtility:3662
716984[2617] 821015[418] 826617[627] 829366[1360] -1 -2  SUtility:5022
712240[575] 853711[1570] 854118[1360] -1 -2  SUtility:3505
574825[1254] -1 -2  SUtility:1254
853728[1360] -1 -2  SUtility:1360
853735[1360] -1 -2  SUtility:1360
636284[5234] 698013[5234] 853370[1989] -1 -2  SUtility:12457
572230[3140] 856981[2093] -1 -2  SUtility:5233
1[20] -1 6[36] -1 9[4] -1 16[20] -1 23[15] -1 29[32] -1 34[15] -1 36[12] -1 39[15] -1 45[28] -1 53[8] -1 56[54] -1 59[2] -1 63[18] -1 67[12] -1 76[14] -1 85[18] -1 86[3] -1 90[6] -1 93[35] -1 101[6] -1 107[16] -1 114[12] -2 SUtility:401
 10299[4] -1 12835[6] -1 -2  SUtility:10
853754[8377] -1 -2  SUtility:8377
551607[627] -1 717509[2617] 821290[1046] -1 -2  SUtility:4290
854075[732] -1 -2  SUtility:732
828989[5235] -1 -2  SUtility:5235
 12691[18] -1 -2  SUtility:18
716924[4711] -1 716924[4711] -1 -2  SUtility:9422
569915[784] 686879[2092] 848658[2092] -1 -2  SUtility:4968
854352[1360] 854517[1360] 854536[313] 854538[1046] -1 -2  SUtility:4079
826589[837] 826610[732] 829387[627] 834877[1464] 834880[1464] -1 -2  SUtility:5124
852978[2617] -1 -2  SUtility:2617
846327[3350] -1 -2  SUtility:3350
853282[4188] 853456[523] -1 -2  SUtility:4711
 10841[12] -1 12371[60] -1 -2  SUtility:72
696644[10260] -1 696644[10260] -1 -2  SUtility:20520
840483[4710] -1 840483[4710] -1 -2  SUtility:9420
691557[732] 843526[1308] 844023[936] 844312[931] -1 -2  SUtility:3907
829085[4188] -1 -2  SUtility:4188
748336[732] 851159[837] 851581[1046] -1 -2  SUtility:2615
853338[5234] -1 -2  SUtility:5234
 159[5] -1 3085[20] -1 -2  SUtility:25
714721[1151] -1 -2  SUtility:1151
853102[2720] -1 -2  SUtility:2720
 18447[9] -1 -2  SUtility:9
1[3] -1 1[27] -1 1[1] -1 5272[3] -1 478[4] -1 5267[2] -1 39[2] -1 2322[4] -1 124[5] -1 209[4] -1 29[3] -1 4275[4] -1 58[3] -1 262[2] -1 224[12] -1 707[4] -1 4488[4] -1 316[9] -1 347[10] -1 1913[1] -1 187[8] -1 161[3] -1 54[2] -1 74[1] -1 20[4] -1 124[9] -1 8[8] -1 5385[6] -1 18[4] -1 5410[1] -1 5411[2] -1 14[15] -1 5412[4] -1 8[5] -1 1829[2] -1 71[2] -1 1117[25] -1 227[3] -1 882[3] -1 18[2] -1 5413[4] -1 14[6] -1 5414[1] -1 14[2] -1 8[2] -1 5385[5] -1 18[40] -1 206[4] -1 29[5] -1 3[6] -1 187[2] -1 292[4] -1 347[25] -1 3830[2] -1 707[5] -1 58[24] -1 21[3] -1 1915[1] -1 3378[1] -1 103[4] -1 8[4] -1 5415[5] -1 3737[1] -1 18[1] -1 304[3] -1 14[8] -1 103[1] -1 935[2] -1 40[3] -1 2250[15] -1 2227[8] -1 8[4] -1 186[2] -1 18[6] -1 8[3] -1 193[8] -1 -2  SUtility:436
819453[15603] 819460[8377] -1 -2  SUtility:23980
850625[1046] 850852[2093] 851320[941] -1 -2  SUtility:4080
 10331[6] -1 12487[6] -1 12495[35] -1 12895[12] -1 33449[12] -1 -2  SUtility:71
854707[15603] -1 854707[15603] -1 -2  SUtility:31206
859139[20839] -1 -2  SUtility:20839
850942[941] 850949[2720] -1 -2  SUtility:3661
819423[1046] -1 -2  SUtility:1046
1[6] -1 6[24] -1 10[20] -1 16[30] -1 24[2] -1 29[40] -1 34[25] -1 36[6] -1 39[15] -1 42[36] -1 52[7] -1 56[30] -1 61[25] -1 66[25] -1 70[8] -1 77[15] -1 85[12] -1 86[5] -1 90[2] -1 95[32] -1 101[6] -1 111[5] -1 114[18] -2 SUtility:394
846382[4397] -1 -2  SUtility:4397
2[25] -1 4[35] -1 9[10] -1 14[16] -1 23[5] -1 26[21] -1 34[40] -1 36[4] -1 39[27] -1 41[9] -1 52[8] -1 55[16] -1 59[9] -1 63[30] -1 67[30] -1 76[10] -1 85[14] -1 86[2] -1 90[3] -1 93[35] -1 99[7] -1 108[14] -1 115[21] -2 SUtility:391
571895[2092] -1 -2  SUtility:2092
850612[1046] -1 -2  SUtility:1046
706167[2823] -1 706167[2823] -1 -2  SUtility:5646
1[14] -1 3[6] -1 10[14] -1 14[6] -1 24[6] -1 29[36] -1 34[20] -1 36[20] -1 39[15] -1 42[40] -1 52[1] -1 56[54] -1 61[25] -1 66[25] -1 71[16] -1 77[25] -1 85[10] -1 86[2] -1 90[5] -1 95[32] -1 101[20] -1 111[4] -1 114[6] -2 SUtility:402
836765[25028] -1 -2  SUtility:25028
640015[3350] -1 -2  SUtility:3350
853244[732] 853855[1360] 854354[208] 854536[313] -1 -2  SUtility:2613
574917[7851] -1 -2  SUtility:7851
 10877[16] -1 12339[27] -1 -2  SUtility:43
854300[1464] 857257[732] -1 -2  SUtility:2196
832780[1046] -1 -2  SUtility:1046
696637[10471] 702933[627] 706216[2722] 829045[1570] 829336[313] -1 -2  SUtility:15703
853722[418] 853730[1570] 853767[1046] -1 -2  SUtility:3034
835745[523] -1 -2  SUtility:523
508563[2408] -1 -2  SUtility:2408
854823[2092] -1 -2  SUtility:2092
508287[1046] -1 -2  SUtility:1046
 18571[16] -1 -2  SUtility:16
 12887[32] -1 -2  SUtility:32
853413[795] 853420[2092] -1 -2  SUtility:2887
690781[2722] 828970[13192] -1 -2  SUtility:15914
552097[3769] 821386[889] -1 -2  SUtility:4658
820345[1360] 839952[6282] 849080[784] 851013[418] -1 -2  SUtility:8844
716926[4606] -1 -2  SUtility:4606
851155[3141] 851238[6270] -1 -2  SUtility:9411
846014[1568] 846029[1108] -1 -2  SUtility:2676
553533[523] 716746[680] 748293[3350] 748302[3350] 828987[313] -1 553837[584] 743879[1775] -1 -2  SUtility:10575
835000[7329] 857204[9424] -1 -2  SUtility:16753
851013[418] 851294[1248] 851581[1046] -1 -2  SUtility:2712
839313[4188] 839995[523] -1 -2  SUtility:4711
651554[3140] 853122[10471] -1 -2  SUtility:13611
 33449[12] -1 33469[21] -1 -2  SUtility:33
550006[4188] 550023[4083] -1 -2  SUtility:8271
690110[1360] -1 -2  SUtility:1360
 18723[9] -1 -2  SUtility:9
842300[28170] -1 -2  SUtility:28170
717138[30788] -1 -2  SUtility:30788
861464[1884] -1 851281[449] 854637[313] 854926[1046] 854930[1046] 855057[624] 857187[1046] -1 -2  SUtility:6408
821307[1584] 821401[1464] 826876[1672] -1 -2  SUtility:4720
820415[941] 821285[4184] 826803[8376] -1 -2  SUtility:13501
819380[1046] 826998[837] -1 587712[523] 748336[1151] 826908[837] 829850[732] 829852[941] -1 -2  SUtility:6067
 12703[8] -1 -2  SUtility:8
684942[313] 840483[1570] 851131[627] -1 -2  SUtility:2510
853417[626] 853420[2092] -1 -2  SUtility:2718
826565[345] 835745[523] 848375[449] 851097[1046] 851099[627] 851122[837] 851131[627] 851236[523] 853190[523] 853227[523] -1 -2  SUtility:6023
853420[2092] -1 -2  SUtility:2092
716645[523] 851290[837] -1 -2  SUtility:1360
691426[1570] 826625[732] 826900[627] -1 -2  SUtility:2929
700002[6806] -1 700002[6806] -1 -2  SUtility:13612
 4[7] -1 832[16] -1 -2  SUtility:23
851560[20839] -1 851560[20839] -1 -2  SUtility:41678
 11[1] -1 6[20] -1 3[6] -1 -2  SUtility:27
846391[2302] 854583[2512] -1 -2  SUtility:4814
601237[1360] -1 -2  SUtility:1360
832604[2303] -1 -2  SUtility:2303
853162[1046] -1 -2  SUtility:1046
700002[13612] 849712[17698] 853325[4188] -1 -2  SUtility:35498
811752[4184] 832557[2092] -1 -2  SUtility:6276
853139[1884] 853364[837] 853366[523] 853700[837] -1 -2  SUtility:4081
516012[1360] 850357[837] -1 516012[1360] 850357[837] -1 -2  SUtility:4394
854795[3141] 854800[2720] 854853[2093] 855016[1046] -1 -2  SUtility:9000
854264[837] 854268[941] 854358[1360] -1 -2  SUtility:3138
826610[732] 829366[1360] 834877[732] 834880[732] -1 -2  SUtility:3556
698493[1569] 712750[3954] -1 -2  SUtility:5523
2[20] -1 3[6] -1 10[14] -1 13[5] -1 23[20] -1 28[70] -1 34[20] -1 36[6] -1 39[3] -1 46[9] -1 53[14] -1 56[36] -1 59[4] -1 63[18] -1 67[15] -1 78[12] -1 85[10] -1 86[5] -1 90[10] -1 93[35] -1 98[3] -1 111[5] -1 116[8] -2 SUtility:348
510445[8377] -1 -2  SUtility:8377
711682[5235] -1 -2  SUtility:5235
821315[10470] -1 -2  SUtility:10470
853094[4188] -1 853096[5235] 853105[1046] -1 -2  SUtility:10469
 18755[45] -1 18767[9] -1 -2  SUtility:54
850945[732] 850949[1360] 853338[2617] 853428[418] 853460[1046] -1 -2  SUtility:6173
 10291[4] -1 -2  SUtility:4
 12847[12] -1 -2  SUtility:12
821410[627] 821412[732] -1 -2  SUtility:1359
508287[1046] -1 -2  SUtility:1046
567215[1882] 567329[1674] -1 -2  SUtility:3556
507556[626] -1 -2  SUtility:626
850711[1046] -1 -2  SUtility:1046
567100[9424] -1 -2  SUtility:9424
840762[29217] -1 -2  SUtility:29217
829006[5234] -1 -2  SUtility:5234
821290[2092] 826955[1360] -1 -2  SUtility:3452
835117[9424] -1 -2  SUtility:9424
857257[732] 857549[732] 857562[627] 857568[1046] -1 857257[732] 857562[627] 857568[1046] -1 857549[732] -1 -2  SUtility:6274
826942[3348] -1 -2  SUtility:3348
833800[31311] -1 -2  SUtility:31311
853147[208] 854489[1360] -1 -2  SUtility:1568
852978[2617] 853077[3664] -1 -2  SUtility:6281
676535[24924] -1 -2  SUtility:24924
651785[1046] 826953[1570] 839322[627] 839324[627] -1 -2  SUtility:3870
718169[1570] 853130[1674] 853242[418] 853994[627] 854148[418] -1 -2  SUtility:4707
2[50] -1 3[9] -1 11[60] -1 16[35] -1 24[2] -1 28[49] -1 34[20] -1 37[8] -1 39[6] -1 44[2] -1 52[10] -1 58[9] -1 59[7] -1 63[18] -1 67[3] -1 76[6] -1 85[14] -1 86[2] -1 91[3] -1 93[14] -1 102[6] -1 107[24] -1 114[30] -2 SUtility:387
 12467[6] -1 12679[45] -1 54653[18] -1 54657[18] -1 54669[24] -1 54673[30] -1 -2  SUtility:141
 12711[40] -1 12719[28] -1 -2  SUtility:68
853135[418] 853190[523] 853233[523] -1 -2  SUtility:1464
854729[4711] -1 -2  SUtility:4711
 48707[8] -1 -2  SUtility:8
 928[10] -1 762[6] -1 -2  SUtility:16
832717[8375] -1 -2  SUtility:8375
853321[6282] -1 -2  SUtility:6282
539431[3559] -1 539431[3559] -1 -2  SUtility:7118
 18523[16] -1 -2  SUtility:16
851189[1873] -1 -2  SUtility:1873
826810[1151] -1 -2  SUtility:1151
678376[3138] 846119[889] 851742[4080] 853128[5022] -1 -2  SUtility:13129
827011[3141] -1 -2  SUtility:3141
581444[3769] 581446[1465] -1 -2  SUtility:5234
854782[1882] 854797[732] 854836[522] 854840[523] 854842[261] -1 -2  SUtility:3920
540597[2093] 851157[2093] -1 -2  SUtility:4186
819380[1046] -1 819464[418] 826820[1046] -1 -2  SUtility:2510
 12471[5] -1 12859[50] -1 12887[12] -1 32217[6] -1 34921[6] -1 34925[24] -1 34929[8] -1 -2  SUtility:111
854804[1570] -1 -2  SUtility:1570
578135[3455] 835032[2093] -1 -2  SUtility:5548
684093[1046] 850612[1046] -1 -2  SUtility:2092
536296[3978] -1 -2  SUtility:3978
849299[1046] 853077[3664] -1 -2  SUtility:4710
14[8] -1 74[3] -1 186[2] -1 197[6] -1 17[14] -1 1218[2] -1 685[5] -1 8[8] -1 4236[3] -1 18[1] -1 40[2] -1 193[5] -1 -2  SUtility:59
853094[4188] -1 -2  SUtility:4188
826927[1046] -1 -2  SUtility:1046
567215[941] 567329[837] -1 -2  SUtility:1778
716984[2303] -1 -2  SUtility:2303
844394[11724] -1 -2  SUtility:11724
685049[626] 851161[1254] 851750[1254] 853132[1046] 853210[836] 853225[1254] 853242[836] -1 -2  SUtility:7106
 18691[30] -1 -2  SUtility:30
 10311[3] -1 10315[8] -1 -2  SUtility:11
 18539[30] -1 18543[7] -1 18567[8] -1 18571[4] -1 18583[30] -1 18587[30] -1 -2  SUtility:109
 12323[28] -1 12331[21] -1 12343[40] -1 -2  SUtility:89
709745[3350] -1 -2  SUtility:3350
857204[18848] -1 -2  SUtility:18848
 10299[2] -1 18423[24] -1 33449[18] -1 33469[30] -1 -2  SUtility:74
510730[1883] 533050[6282] -1 -2  SUtility:8165
691443[1360] 691595[1256] 691679[1988] 843526[1308] -1 -2  SUtility:5912
685049[313] 716654[2093] 851161[627] 851234[941] 851587[313] 853242[418] -1 -2  SUtility:4705
857830[14658] 859242[39584] -1 -2  SUtility:54242
821277[4184] 821285[8368] -1 821277[4184] 821285[8368] -1 -2  SUtility:25104
579464[83671] -1 579464[83671] -1 -2  SUtility:167342
 12487[16] -1 -2  SUtility:16
748289[1151] -1 -2  SUtility:1151
587266[2092] 705740[627] 828970[6282] -1 -2  SUtility:9001
600132[23562] -1 -2  SUtility:23562
551956[732] 827022[5235] 840412[2617] -1 -2  SUtility:8584
 12299[9] -1 12411[2] -1 12443[60] -1 12587[30] -1 -2  SUtility:101
567333[837] 684762[2092] -1 -2  SUtility:2929
853102[1360] 854840[523] -1 -2  SUtility:1883
 12603[56] -1 12621[21] -1 12751[5] -1 12787[20] -1 18671[30] -1 34913[56] -1 -2  SUtility:188
 12339[27] -1 -2  SUtility:27
846391[1046] -1 -2  SUtility:1046
819357[2303] -1 -2  SUtility:2303
705794[6250] -1 -2  SUtility:6250
2[20] -1 7[50] -1 9[1] -1 17[16] -1 23[45] -1 28[21] -1 34[35] -1 36[8] -1 39[21] -1 47[2] -1 52[10] -1 58[3] -1 59[7] -1 63[54] -1 67[24] -1 81[30] -1 85[20] -1 86[10] -1 91[18] -1 94[6] -1 102[6] -1 112[16] -1 118[9] -2 SUtility:432
853758[4188] -1 -2  SUtility:4188
854699[1464] 854720[523] 855151[523] -1 -2  SUtility:2510
854300[732] -1 -2  SUtility:732
850315[994] 850949[2720] 853422[418] -1 -2  SUtility:4132
846468[3324] -1 -2  SUtility:3324
 11[7] -1 6[10] -1 615[12] -1 446[40] -1 -2  SUtility:69
 12621[18] -1 12855[14] -1 -2  SUtility:32
695433[3769] -1 -2  SUtility:3769
 3[2] -1 -2  SUtility:2
717262[32987] -1 717262[32987] -1 -2  SUtility:65974
851152[3141] -1 -2  SUtility:3141
 1180[3] -1 6[35] -1 5476[7] -1 -2  SUtility:45
545928[6806] 853282[4188] -1 -2  SUtility:10994
229[2] -1 8[4] -1 2958[4] -1 18[1] -1 224[5] -1 11[5] -1 3401[3] -1 1200[1] -1 14[4] -1 3457[10] -1 50[5] -1 591[32] -1 564[30] -1 290[45] -1 399[12] -1 292[5] -1 8[2] -1 278[6] -1 206[2] -1 63[2] -1 71[20] -1 140[15] -1 8[1] -1 1062[15] -1 18[20] -1 102[3] -1 478[5] -1 14[6] -1 227[28] -1 462[2] -1 1628[3] -1 14[4] -1 1438[3] -1 101[1] -1 292[9] -1 8[10] -1 270[4] -1 18[5] -1 64[6] -1 75[2] -1 71[6] -1 2195[1] -1 318[6] -1 21[1] -1 604[6] -1 71[1] -1 323[3] -1 -2  SUtility:366
 12887[16] -1 -2  SUtility:16
712278[2092] -1 -2  SUtility:2092
854797[1464] 854800[2720] -1 -2  SUtility:4184
